Agency,Business Title,Civil Service Title,Level,Division/Work Unit
DEPARTMENT OF FINANCE,Senior Developer,COMPUTER SYSTEMS MANAGER,M1,Microsoft Platfrom Apps
HRA/DEPT OF SOCIAL SERVICES,INFORMATION TECHNOLOGY PROJECT MANAGER,COMPUTER SYSTEMS MANAGER,M2,FIA Exec Administration-Mgr
DEPT OF ENVIRONMENT PROTECTION,Supervisor Electrician,SUPERVISOR ELECTRICIAN,00,Bronx North South Yard Reser
DEPT OF ENVIRONMENT PROTECTION,Central Services Manager/Special Projects,ADMINISTRATIVE STOREKEEPER,M1,Water Supply Gen Storehouse #1
DEPT OF ENVIRONMENT PROTECTION,Central Services Manager/Special Projects,ADMINISTRATIVE STOREKEEPER,M1,Water Supply Gen Storehouse #1
HRA/DEPT OF SOCIAL SERVICES,CENTRAL INTAKE REGISTRAR,CLERICAL ASSOCIATE,03,MICSA Home Care Svcs NM MD
DEPT OF ENVIRONMENT PROTECTION,Associate Project Manager II,ASSOCIATE PROJECT MANAGER,02,Ben Neslin Lab
DEPT OF ENVIRONMENT PROTECTION,Associate Project Manager II,ASSOCIATE PROJECT MANAGER,02,Ben Neslin Lab
CONSUMER AFFAIRS,Customer Service Representative,COMMUNITY ASSOCIATE,00,Data Processing/311/Renewals
DEPT OF ENVIRONMENT PROTECTION,Supervisor Electrician,SUPERVISOR ELECTRICIAN,00,Bronx North South Yard Reser
DEPT OF ENVIRONMENT PROTECTION,Engineer-in-Charge of the Project Development Section,ADMINISTRATIVE ENGINEER,M1,Capital Planning Development
DEPT OF ENVIRONMENT PROTECTION,Engineer-in-Charge of the Project Development Section,ADMINISTRATIVE ENGINEER,M1,Capital Planning Development
FIRE DEPARTMENT,Oracle Applications Developer,COMPUTER SPECIALIST (SOFTWARE),01,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Oracle Applications Developer,COMPUTER SPECIALIST (SOFTWARE),01,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Application Administrator,COMPUTER SPECIALIST (SOFTWARE),02,Bureau of Tech Deve and Syst
FIRE DEPARTMENT,Application Administrator,COMPUTER SPECIALIST (SOFTWARE),02,Bureau of Tech Deve and Syst
CONSUMER AFFAIRS,Customer Service Representative,COMMUNITY ASSOCIATE,00,Data Processing/311/Renewals
CONSUMER AFFAIRS,Customer Service Representative,COMMUNITY ASSOCIATE,00,Data Processing/311/Renewals
ADMIN FOR CHILDREN'S SVCS,Business Analyst	,ADMINISTRATIVE STAFF ANALYST (,00,"Mis Admin,Network Sysms Dvlpmt"
DEPT OF ENVIRONMENT PROTECTION,Environmental Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Div of Wetld Cos Com Plan/L
DEPT OF ENVIRONMENT PROTECTION,Environmental Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Div of Wetld Cos Com Plan/L
DEPT OF ENVIRONMENT PROTECTION,Computer Specialist (Software) I,COMPUTER SPECIALIST (SOFTWARE),01,OIT / BWS
DEPT OF ENVIRONMENT PROTECTION,Computer Specialist (Software) I,COMPUTER SPECIALIST (SOFTWARE),01,OIT / BWS
ADMIN FOR CHILDREN'S SVCS,Business Analyst	,ADMINISTRATIVE STAFF ANALYST (,00,"Mis Admin,Network Sysms Dvlpmt"
DEPARTMENT OF BUILDINGS,Senior Engineer,ADMINISTRATIVE ENGINEER,M1,Ad Exc Tech Affairs & Code Dev
DEPARTMENT OF BUILDINGS,Senior Engineer,ADMINISTRATIVE ENGINEER,M1,Ad Exc Tech Affairs & Code Dev
DEPT OF ENVIRONMENT PROTECTION,Engineering and Technical Services Assistant Engineer,CIVIL ENGINEERING INTERN,00,Rondout Neversink Sec Del Up
DEPT OF ENVIRONMENT PROTECTION,Water Resources Analyst,ADMINISTRATIVE PROJECT MANAGER,M1,Environmental Planning (FT A
DEPT OF ENVIRONMENT PROTECTION,Water Resources Analyst,ADMINISTRATIVE PROJECT MANAGER,M1,Environmental Planning (FT A
DEPARTMENT OF BUILDINGS,Executive Engineer for Crane Operations,ADMINISTRATIVE ENGINEER,M2,Cranes & Derricks
DEPARTMENT OF BUILDINGS,Executive Engineer for Crane Operations,ADMINISTRATIVE ENGINEER,M2,Cranes & Derricks
DEPT OF ENVIRONMENT PROTECTION,Engineering and Technical Services Assistant Engineer,CIVIL ENGINEERING INTERN,00,Rondout Neversink Sec Del Up
DEPT OF HEALTH/MENTAL HYGIENE,"Special Projects/Contract Manager, Office of ACCO",ADMINISTRATIVE STAFF ANALYST (,00,Acco/Contracts
DEPT OF HEALTH/MENTAL HYGIENE,"Special Projects/Contract Manager, Office of ACCO",ADMINISTRATIVE STAFF ANALYST (,00,Acco/Contracts
