Agency Name,Complaint Type,Descriptor,Incident Zip,City,Community Board,Borough
Department of Housing Preservation and Development,HEATING,HEAT,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11230,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11231,BROOKLYN,06 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10034,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,LIGHTING,10468,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11368,Corona,03 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,GAS,11233,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10473,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11212,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,GAS,10456,BRONX,Unspecified BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,07 BRONX,BRONX
